City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Puerto Ayora,EC,2022-08-26 23:14:05,-0.7393,-90.3518,65.55,96,75,5.99
1,Praia,CV,2022-08-26 23:14:06,14.9215,-23.5087,80.51,77,47,5.77
2,Tautira,PF,2022-08-26 23:14:07,-17.7333,-149.15,76.39,71,9,8.32
3,Huarmey,PE,2022-08-26 23:14:07,-10.0681,-78.1522,63.93,79,1,11.83
4,Bluff,NZ,2022-08-26 23:14:08,-46.6,168.3333,46.8,81,100,7.25
5,Tekeli,KZ,2022-08-26 23:14:08,44.83,78.8239,52.97,43,84,5.86
6,Sobolevo,RU,2022-08-26 23:14:09,54.4299,31.8996,64.45,59,53,6.78
7,Exmouth,GB,2022-08-26 23:14:09,50.6172,-3.4023,61.09,89,32,7.4
8,Kapaa,US,2022-08-26 23:14:10,22.0752,-159.319,84.52,68,40,10.36
9,Vestmannaeyjar,IS,2022-08-26 23:14:10,63.4427,-20.2734,48.88,59,8,18.68
10,Rikitea,PF,2022-08-26 23:14:11,-23.1203,-134.9692,69.55,57,51,22.93
11,Grand Junction,US,2022-08-26 23:14:11,39.0639,-108.5507,68.88,67,100,14.97
12,Carnarvon,AU,2022-08-26 23:14:12,-24.8667,113.6333,63.14,76,2,13.94
13,Nikolskoye,RU,2022-08-26 23:14:12,59.7035,30.7861,59.88,96,0,2.46
14,Butaritari,KI,2022-08-26 23:14:13,3.0707,172.7902,81.63,77,25,13.78
15,Roald,NO,2022-08-26 23:14:13,62.5833,6.1333,59.16,87,20,11.5
16,Asau,RO,2022-08-26 23:14:14,46.4333,26.4,67.28,51,5,4.32
17,Makakilo City,US,2022-08-26 23:10:09,21.3469,-158.0858,86.32,59,75,17.27
18,Berdigestyakh,RU,2022-08-26 23:14:14,62.0989,126.6992,48.49,77,78,7.72
19,Hithadhoo,MV,2022-08-26 23:14:15,-0.6,73.0833,80.4,74,100,9.55
20,Yellowknife,CA,2022-08-26 23:12:50,62.456,-114.3525,70.45,44,99,14.79
21,Waseca,US,2022-08-26 23:14:17,44.0777,-93.5074,77.43,73,0,4.61
22,Constitucion,CL,2022-08-26 23:14:17,-35.3333,-72.4167,50.32,84,100,13.85
23,Kyaukse,MM,2022-08-26 23:14:17,21.6,96.1333,75.36,93,100,6.58
24,Kieta,PG,2022-08-26 23:14:18,-6.2167,155.6333,82.17,76,53,6.08
25,Pangnirtung,CA,2022-08-26 23:14:18,66.1451,-65.7125,45.59,66,96,5.28
26,Qaqortoq,GL,2022-08-26 23:14:19,60.7167,-46.0333,45.36,97,100,4.09
27,Grand-Santi,GF,2022-08-26 23:14:19,4.25,-54.3833,77.74,75,95,3.24
28,Byron Bay,AU,2022-08-26 23:14:20,-28.65,153.6167,59.7,80,67,10.09
29,Ciro Marina,IT,2022-08-26 23:14:20,39.3732,17.126,78.06,67,9,0.98
30,Hermanus,ZA,2022-08-26 23:14:21,-34.4187,19.2345,52.39,80,6,15.23
31,Hobart,AU,2022-08-26 23:14:05,-42.8794,147.3294,48.25,93,75,8.05
32,Havre-Saint-Pierre,CA,2022-08-26 23:14:21,50.2334,-63.5986,60.24,62,98,7.74
33,Valparaiso,CL,2022-08-26 23:12:37,-33.0393,-71.6273,57.99,91,100,8.05
34,North Platte,US,2022-08-26 23:14:23,41.1239,-100.7654,93.11,22,0,8.99
35,Borogontsy,RU,2022-08-26 23:14:23,62.6683,131.1683,52.3,73,100,4.34
36,Mataura,NZ,2022-08-26 23:14:24,-46.1927,168.8643,46.47,85,100,1.72
37,Ushuaia,AR,2022-08-26 23:14:24,-54.8,-68.3,31.66,86,100,20.71
38,Provideniya,RU,2022-08-26 23:14:25,64.3833,-173.3,50.02,88,100,2.01
39,Grindavik,IS,2022-08-26 23:14:26,63.8424,-22.4338,46.87,66,0,9.22
40,Sur,OM,2022-08-26 23:14:26,22.5667,59.5289,81.1,70,0,11.01
41,Dukat,RU,2022-08-26 23:14:27,62.55,155.55,50.49,66,52,4.12
