City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Bandarbeyla,SO,76.59,broken clouds,9.4942,50.8122,JABIR HOTEL
Rikitea,PF,72.82,scattered clouds,-23.1203,-134.9692,People ThankYou
Komsomolskiy,UZ,74.12,clear sky,40.4272,71.7189,Ikathouse
Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
Georgetown,MY,79.9,overcast clouds,5.4112,100.3354,Cititel Penang
Bambous Virieux,MU,70.05,light rain,-20.3428,57.7575,Casa Tia Villa
Amuntai,ID,70.68,overcast clouds,-2.4177,115.2494,Hotel Balqis
Kapaa,US,83.48,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
Butaritari,KI,81.45,light rain,3.0707,172.7902,Isles Sunset Lodge
Mar Del Plata,AR,71.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
Hithadhoo,MV,81.43,overcast clouds,-0.6,73.0833,Scoop Guest House
Atuona,PF,76.33,light rain,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
Medicine Hat,CA,84.63,smoke,50.0501,-110.6683,Ramada Limited Medicine Hat
Buala,SB,81.57,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
Ende,ID,75.47,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
Carutapera,BR,80.22,broken clouds,-1.195,-46.02,Lidera
Myanaung,MM,78.4,overcast clouds,18.2833,95.3167,Myint Mo Oo - 2
Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
San Cristobal,VE,82.58,scattered clouds,7.7669,-72.225,Pirineos
Vila Franca Do Campo,PT,72.01,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
Bethel,US,78.8,heavy intensity rain,41.3712,-73.414,Courtyard by Marriott Danbury
Iralaya,HN,83.82,overcast clouds,15.0,-83.2333,Iglesia morava renovada
Thompson,CA,82.56,few clouds,55.7435,-97.8558,Burntwood Hotel
Deshnok,IN,84.99,clear sky,27.7986,73.3447,Royal Karni palace
Bengkulu,ID,76.3,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
Oum Hadjer,TD,79.14,overcast clouds,13.2954,19.6966,
Salinopolis,BR,80.62,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
Marovoay,MG,72.63,broken clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
Hamilton,US,83.08,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
Biak,ID,74.53,overcast clouds,-0.9131,122.8766,Penginapan Kim
Safita,SY,73.13,clear sky,34.8205,36.1153,Safita Cham Hotel
Nha Trang,VN,80.6,moderate rain,12.25,109.1833,Hanoi Golden Hotel
Bastia,FR,75.29,clear sky,42.6667,9.3333,Hotel Santa Maria
Hilo,US,84.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
Hat Yai,TH,77.18,broken clouds,7.0084,100.4767,New Season Hotel
Ribeira Grande,PT,74.35,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
Sioux Lookout,CA,75.27,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
Pozo Colorado,PY,72.09,clear sky,-23.4923,-58.7972,Hospedaje La Norteña
Honiara,SB,80.58,clear sky,-9.4333,159.95,Heritage Park Hotel
Wajir,KE,77.88,scattered clouds,1.7471,40.0573,Mahatallah Hotel
Kahului,US,82.42,light rain,20.8947,-156.47,Maui Seaside Hotel
Ugoofaaru,MV,80.02,light rain,5.6667,73.0,Ungoofaaru Inn
Kavieng,PG,80.85,broken clouds,-2.5744,150.7967,Nusa Island Retreat
Talara,PE,72.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
Lagoa,PT,72.54,overcast clouds,39.05,-27.9833,Casa Das Faias
Ushtobe,KZ,71.38,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
Souillac,MU,70.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
Mahibadhoo,MV,79.95,overcast clouds,3.7833,72.9667,Omadhoo Inn
Marzuq,YE,84.07,broken clouds,14.4,46.4667,حيد القفلة
Saint Anthony,US,77.72,broken clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
Lodja,CD,72.52,clear sky,-3.4833,23.4333,
Manokwari,ID,78.03,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
Ormara,PK,79.72,scattered clouds,25.2088,64.6357,Kenara Colony House for Rent
San Patricio,US,82.29,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
Acapulco,MX,76.82,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
Gogrial,SS,72.55,overcast clouds,8.5332,28.1004,
La Ronge,CA,77.25,smoke,55.1001,-105.2842,Northland Motor Hotel
Hasaki,JP,75.29,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
Impfondo,CG,74.82,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
Mogadishu,SO,75.58,clear sky,2.0371,45.3438,Hotel Juba
Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
Barcelona,ES,80.78,few clouds,41.3888,2.159,Axel Hotel Barcelona
Goure,NE,81.91,overcast clouds,13.9835,10.2704,
Kihei,US,82.42,light rain,20.785,-156.4656,Maui Sunset
Masallatah,LY,77.86,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
