City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
Kodiak,57.79,-152.4072,56.71,72,100,4.61,US,overcast clouds
Bandarbeyla,9.4942,50.8122,76.59,82,56,27.47,SO,broken clouds
Araouane,18.9048,-3.5265,102.69,15,32,12.62,ML,scattered clouds
Chuy,-33.6971,-53.4616,54.72,73,0,6.15,UY,clear sky
Upernavik,72.7868,-56.1549,41.83,87,100,27.49,GL,light rain
New Norfolk,-42.7826,147.0587,42.3,86,100,1.52,AU,overcast clouds
Rikitea,-23.1203,-134.9692,72.82,62,29,17.96,PF,scattered clouds
Komsomolskiy,40.4272,71.7189,74.12,28,5,9.22,UZ,clear sky
Narrabri,-30.3167,149.7833,48.52,84,68,4.0,AU,broken clouds
Saint-Philippe,-21.3585,55.7679,69.39,80,54,14.5,RE,light rain
Rodrigues Alves,-7.738,-72.6509,94.1,29,62,5.46,BR,broken clouds
Sharkan,57.2989,53.8712,46.22,72,100,4.05,RU,overcast clouds
Vardo,70.3705,31.1107,44.58,100,75,18.41,NO,broken clouds
Puerto Ayora,-0.7393,-90.3518,80.56,89,96,8.01,EC,overcast clouds
Barrow,71.2906,-156.7887,39.22,70,100,5.75,US,overcast clouds
Yeppoon,-23.1333,150.7333,56.98,82,18,11.03,AU,few clouds
Tuktoyaktuk,69.4541,-133.0374,41.0,93,100,29.93,CA,overcast clouds
Coquimbo,-29.9533,-71.3436,55.13,87,40,9.22,CL,scattered clouds
Hobart,-42.8794,147.3294,42.66,91,75,8.05,AU,broken clouds
Georgetown,5.4112,100.3354,79.9,90,96,4.45,MY,overcast clouds
Ushuaia,-54.8,-68.3,33.46,93,75,25.32,AR,broken clouds
Xacmaz,41.4635,48.806,64.87,64,84,9.73,AZ,broken clouds
Victoria,22.2855,114.1577,87.33,64,89,1.99,HK,overcast clouds
Bambous Virieux,-20.3428,57.7575,70.05,78,75,12.66,MU,light rain
Albany,42.6001,-73.9662,65.73,94,100,1.3,US,moderate rain
Amuntai,-2.4177,115.2494,70.68,98,91,1.72,ID,overcast clouds
Saint George,37.1041,-113.5841,107.44,14,0,4.0,US,clear sky
Kapaa,22.0752,-159.319,83.48,66,40,11.5,US,scattered clouds
Cherskiy,68.75,161.3,40.17,82,100,8.1,RU,overcast clouds
Butaritari,3.0707,172.7902,81.45,79,91,16.24,KI,light rain
Port Alfred,-33.5906,26.891,57.18,70,0,7.0,ZA,clear sky
Mar Del Plata,-38.0023,-57.5575,71.62,56,0,10.36,AR,clear sky
Hithadhoo,-0.6,73.0833,81.43,74,100,18.14,MV,overcast clouds
Punta Arenas,-53.15,-70.9167,41.11,81,75,21.85,CL,light intensity shower rain
Castro,-24.7911,-50.0119,56.95,77,79,3.8,BR,moderate rain
Kaitangata,-46.2817,169.8464,35.89,82,74,10.0,NZ,broken clouds
Atuona,-9.8,-139.0333,76.33,75,50,22.66,PF,light rain
Nanortalik,60.1432,-45.2371,43.38,95,100,8.08,GL,overcast clouds
Hermanus,-34.4187,19.2345,52.81,80,66,12.03,ZA,broken clouds
Aljezur,37.3191,-8.8033,65.88,94,1,6.33,PT,clear sky
Chokurdakh,70.6333,147.9167,40.6,72,100,8.23,RU,overcast clouds
Henties Bay,-22.116,14.2845,54.32,89,0,8.79,NA,clear sky
Constitucion,-35.3333,-72.4167,61.07,65,22,9.55,CL,few clouds
Bluff,-46.6,168.3333,41.81,64,87,10.29,NZ,overcast clouds
Saldanha,-33.0117,17.9442,54.05,74,75,2.77,ZA,broken clouds
Yumen,40.2833,97.2,64.81,19,0,7.07,CN,clear sky
Solnechnyy,50.7214,136.6319,55.0,97,100,3.83,RU,light rain
Leningradskiy,69.3833,178.4167,32.79,99,100,6.11,RU,light snow
Mataura,-46.1927,168.8643,41.49,91,75,4.61,NZ,broken clouds
Busselton,-33.65,115.3333,49.41,89,100,5.77,AU,moderate rain
Letka,59.6011,49.4232,40.86,93,100,4.41,RU,overcast clouds
Medicine Hat,50.0501,-110.6683,84.63,28,20,16.11,CA,smoke
Gallup,35.5281,-108.7426,92.16,13,0,14.97,US,clear sky
Mehamn,71.0357,27.8492,46.31,93,75,18.41,NO,broken clouds
Carnarvon,-24.8667,113.6333,62.47,59,76,13.73,AU,broken clouds
Jamestown,42.097,-79.2353,69.53,72,100,1.01,US,heavy intensity rain
Buala,-8.145,159.5921,81.57,77,74,6.58,SB,broken clouds
