City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chokurdakh,RU,2022-08-24 22:14:52,70.6333,147.9167,40.93,77,100,12.17
1,Cherskiy,RU,2022-08-24 22:14:52,68.75,161.3,60.93,59,79,6.2
2,Dikson,RU,2022-08-24 22:14:53,73.5069,80.5464,39.99,87,100,22.7
3,Kasongo-Lunda,CD,2022-08-24 22:14:53,-6.4667,16.8167,79.81,46,75,2.66
4,Parana,AR,2022-08-24 22:11:56,-31.732,-60.5238,75.54,66,7,7.02
5,Arman,RU,2022-08-24 22:14:54,59.7,150.1667,53.4,83,100,8.99
6,Dunedin,NZ,2022-08-24 22:14:28,-45.8742,170.5036,50.81,54,100,8.99
7,Cayenne,GF,2022-08-24 22:14:54,4.9333,-52.3333,78.84,83,0,3.44
8,Kismayo,SO,2022-08-24 22:14:55,-0.3582,42.5454,75.13,82,100,16.33
9,Sao Jose Da Coroa Grande,BR,2022-08-24 22:14:55,-8.8978,-35.1478,72.72,78,57,11.77
10,Bredasdorp,ZA,2022-08-24 22:11:07,-34.5322,20.0403,53.11,80,1,4.63
11,Turukhansk,RU,2022-08-24 22:14:56,65.8167,87.9833,56.98,98,100,13.38
12,Den Helder,NL,2022-08-24 22:14:56,52.9599,4.7593,72.99,86,83,10.0
13,Pevek,RU,2022-08-24 22:12:06,69.7008,170.3133,43.39,83,54,0.78
14,Luanda,AO,2022-08-24 22:13:17,-8.8368,13.2343,69.84,87,92,8.81
15,Canavieiras,BR,2022-08-24 22:14:57,-15.675,-38.9472,69.55,78,17,4.74
16,Airai,TL,2022-08-24 22:14:57,-8.9266,125.4092,54.07,84,100,4.03
17,Butaritari,KI,2022-08-24 22:14:57,3.0707,172.7902,81.61,68,6,6.51
18,Caravelas,BR,2022-08-24 22:14:58,-17.7125,-39.2481,69.78,80,5,4.65
19,Castro,BR,2022-08-24 22:11:44,-24.7911,-50.0119,55.94,81,56,3.38
20,Vaini,TO,2022-08-24 22:10:43,-21.2,-175.2,78.96,78,20,10.36
21,Albany,US,2022-08-24 22:14:58,42.6001,-73.9662,83.43,55,71,7.83
22,Busselton,AU,2022-08-24 22:14:59,-33.65,115.3333,52.07,66,98,7.56
23,Bambanglipuro,ID,2022-08-24 22:14:59,-7.95,110.2833,73.78,85,80,8.79
24,Avarua,CK,2022-08-24 22:11:07,-21.2078,-159.775,77.05,69,40,14.97
25,Dingle,PH,2022-08-24 22:12:31,10.9995,122.6711,76.14,91,67,2.75
26,Bambous Virieux,MU,2022-08-24 22:10:49,-20.3428,57.7575,70.05,64,20,11.5
27,Tuktoyaktuk,CA,2022-08-24 22:15:00,69.4541,-133.0374,57.2,94,100,3.44
28,Toamasina,MG,2022-08-24 22:15:00,-18.1667,49.3833,66.74,85,55,5.44
29,Mount Gambier,AU,2022-08-24 22:15:00,-37.8333,140.7667,48.34,95,97,4.52
30,Pangkalanbuun,ID,2022-08-24 22:15:01,-2.6833,111.6167,74.57,90,100,1.74
31,Mataura,NZ,2022-08-24 22:15:01,-46.1927,168.8643,41.49,65,100,2.1
32,Milkovo,RU,2022-08-24 22:15:02,54.7167,158.6167,55.09,78,90,19.1
33,Ylivieska,FI,2022-08-24 22:15:03,64.0833,24.55,53.89,97,94,4.7
34,Ushuaia,AR,2022-08-24 22:15:03,-54.8,-68.3,40.66,45,20,10.36
35,Khlung,TH,2022-08-24 22:15:04,12.4547,102.2214,84.11,92,100,3.2
36,New Norfolk,AU,2022-08-24 22:15:04,-42.7826,147.0587,50.92,83,95,1.01
37,Alyangula,AU,2022-08-24 22:15:05,-13.8483,136.4192,68.13,52,52,19.91
38,Cape Town,ZA,2022-08-24 22:15:05,-33.9258,18.4232,59.38,80,75,23.02
39,Rikitea,PF,2022-08-24 22:15:06,-23.1203,-134.9692,69.44,68,100,16.11
